Puesto,Rango Salarial,Empresa
Product Owner Estrategia Reclamos & Canales Digitales - Customer Experience,"S/ 9,600 - S/ 11,520",Yape
Credit Team Deputy Manager,"S/7,000 ",Yape
Chief Client Officer,"S/ 27,000 - S/ 32,000",Yape
Tribe Leader - Yape Empresas,"S/27,000 ",Yape
Business Specialist of Customer Experience,"S/3,000 ",Yape
Business Specialist Advanced,"S/3,500 ",Yape
Business Specialist,"S/3,000 ",Yape
Business Specialist Proficient,"S/7,850 ",Yape
Product Owner - CX Strategy,"S/11,520 ",Yape
Business Specialist Senior - Squad Estrategia de Postventa,"S/ 6,106 - S/ 7,000",Yape
Business Specialist Advanced,"S/5,300 ",Yape
Business Specialist Senior,"S/5,967 ",Yape
Business Specialist - Post Venta,"S/5,180 ",Yape
Business Specialist Advanced Insurance,"S/3,500 ",Yape
Agile Project Enable,"S/7,020 ",Yape
Sub Gerente Adjunto Reclamos Yape,"S/6,105 ",Yape
Business Specialist Advanced,"S/3,500 ",Yape
Business Specialist,"S/3,000 ",Yape
Business Specialist Proficient | Marketplace Commercial Strategy,"S/8,560 ",Yape
Business Specialist Senior | Product Management,"S/7,130 ",Yape
Staff Designer,"S/8,911 ",Yape
Service Design Mentor,"S/8,900 ",Yape
Service Designer Senior,"S/7,000 ",Yape
Business specialist Senior,"S/5,728 ",Yape
Business specialist Advanced,"S/ 4,151 - S/ 4,981",Yape
Business specialist,"S/3,000 ",Yape
Business Specialist SR,"S/ 5,500 - S/ 6,050",Yape
Product Marketing Growth,"S/4,715 ",Yape
Own Media Analyst,"S/ 4,100 - S/ 4,715",Yape
"Gerente Adj. de Cultura, Experiencia y Comunicacion Interna","S/8,900 ",Yape
Sub Gerente de Comunicaciones Internas Yape,"S/7,256 ",Yape
Business Specialist Proficient,"S/ 6,861 - S/ 8,900",Yape
Sub Gerente de Producto | Business Specialist Proficient,"S/7,000 ",Yape
Data Scientist,"S/ 3,100 - S/ 3,565",Yape
Digital Product Manager,"S/ 8,560 - S/ 9,900",Yape
Strategy & Product Manager - Customer Service Experience,"S/7,130 ",Yape
Senior Business Specialist - Yape Empresas,"S/6,200 ",Yape
Product Owner - Retail Digital Channels,"S/7,857 ",BBVA
Cash Management Principal Manager,"S/19,000 ",BBVA
Enterprise Program Manager,"S/14,790 ",BBVA
Advisory GTB Senior Associate - Corporate & Investment Banking,"S/13,929 ",BBVA
Advisory GTB Associate - Corporate & Investment Banking,"S/11,786 ",BBVA
Advisory GTB Senior Analyst - Corporate & Investment Banking,"S/9,832 ",BBVA
Advisory GTB Analyst - Corporate & Investment Banking,"S/ 6,364 - S/ 7,520",BBVA
Subgerente de Real Estate,"S/ 15,000 - S/ 15,750",BBVA
Employer Branding Senior Manager,"S/11,500 ",BBVA
Employer Branding Manager,"S/ 11,500 - S/ 11,500",BBVA
Ejecutivo de Negocios Banca Empresas,"S/9,500 ",BBVA
Especialista de Negocios Banca Empresa y Corporativa,"S/3,076 ",BBVA
Analista de Relaciones Laborales,"S/3,750 ",BBVA
Journey Manager,"S/6,860 ",BBVA
Product Manager - Acquiring,"S/12,000 ",BBVA
Data Scientist Analyst,"S/5,500 ",BBVA
Head of Architecture,"S/ 36,786 - S/ 36,921",BBVA
"Head of Banking Systems (Gerente Desarrollo Sistemas de Canales, Enterprise, CIB, Áreas Centrales)","S/ 26,975 - S/ 28,073",BBVA
Data Specialist Associate,"S/5,886 ",BBVA
Seamless Experience Manager,"S/9,786 ",BBVA
Corporate & Business Banking Analyst,"S/4,200 ",BBVA
Talent Solutions Front Associate,"S/5,360 ",BBVA
Controller Manager,"S/ 6,600 - S/ 7,000",BBVA
Associate Financial Data & Analytics Process,"S/ 4,800 - S/ 5,140",BBVA
Especialista Management Control External Business Units,"S/4,700 ",BBVA
Contract and Digital Banking Lawyer,"S/ 3,500 - S/ 5,000",BBVA
Financial Planning Associate,"S/4,286 ",BBVA
Data Specialist Associate - Talent & Culture,"S/ 6,200 - S/ 6,450",BBVA
Data Specialist Analyst - Talent & Culture,"S/4,300 ",BBVA
Especialista de Estructura y Organización - Talent & Culture,"S/4,100 ",BBVA
"Principal Manager Asset & Liability Management | Head of MM, Liquidity, Funding & Capital Execution","S/21,000 ",BBVA
Principal Manager Asset & Liability Management | Head of Banking Book Strategy & Risk Management,"S/14,300 ",BBVA
Manager Asset & Liability Management | Structural Funding,"S/10,250 ",BBVA
Manager Asset & Liability Management | IRRBB & Fx Risk Management,"S/7,000 ",BBVA
Manager Asset & Liability Management,"S/13,500 ",BBVA
Analista/Programador,"S/ 5,656 - S/ 8,570",BBVA
Data Tech Lead Project | Software Analyst Solutions Development | Data Engineering Client Solutions,"S/6,000 ",BBVA
Reliability | Software Analyst Solutions Development | Data Engineering Client Solutions,"S/6,000 ",BBVA
Design Research Manager,"S/ 9,700 - S/ 10,200",BBVA
Design Researcher & Service Designer,"S/7,200 ",BBVA
Product Owner,"S/8,500 ",BBVA
Software Expert Solutions Development I,"S/8,500 ",BBVA
Investor Relations & Peers Manager,"S/8,400 ",BBVA
Investor Relations & Peers Associate,"S/ 5,500 - S/ 6,325",BBVA
Gestor Comercial de Banca Empresa y Corporativa en BBVA en Perú,"S/4,000 ",BBVA
SOFTWARE ASSOCIATE SOLUTIONS DEVELOPMENT I,"S/ 6,643 - S/ 7,359",BBVA
Associate Software Engineer,"S/ 7,357 - S/ 7,762",BBVA
Software Analyst Solutions Development I,"S/5,500 ",BBVA
Banking Architecture Discipline Leader,"S/13,000 ",BBVA
Banking Architecture Discipline Manager,"S/10,900 ",BBVA
"Middleware, Artificial Intelligence & Cloud Services Discipline Manager Architect","S/8,800 ",BBVA
Software Analyst Solutions Development I,"S/6,000 ",BBVA
Corporate & Business Banking Trainee,"S/3,000 ",BBVA
Talent Solutions Analyst,"S/3,100 ",BBVA
Institutional Banking Specialist,"S/4,000 ",BBVA
Product Strategy Associate - Préstamos Personales,"S/6,064 ",BBVA
Commercial Product - Pymes Créditos,"S/ 5,500 - S/ 5,775",BBVA
Analyst Solutions Development,"S/5,600 ",BBVA
Manager - Integrity Risks Services,"S/10,220 ",EY
Senior Consultant - Integrity Risk Services,"S/6,000 ",EY
Staff Consultant - Integrity Risk Services,"S/ 2,240 - S/ 2,800",EY
Financial Accounting Advisory Services Staff,"S/2,800 ",EY
Strategy & Transactions Assistant,"S/2,800 ",EY
Senior Manager in Financial Services Consulting,"S/14,903 ",EY
Manager in Financial Services Consulting,"S/13,847 ",EY
Senior Consultant - Financial Services Office,"S/6,000 ",EY
Incharge Consultant - Financial Services Office,"S/4,250 ",EY
Staff - Financial Services Office,"S/2,800 ",EY
Senior Consultant - Data Scientist,"S/6,000 ",EY
In Charge Consultant - Data Scientist,"S/4,250 ",EY
Consultant - Data Analytics,"S/2,800 ",EY
Trainee,"S/1,264 ",EY
Manager,"S/14,845 ",EY
Staff Risk Transformation,"S/3,500 ",EY
Consultant,"S/2,800 ",EY
Data Analytics & Forensic Integrity Risk Services - Senior Consultant,"S/6,000 ",EY
Data Analytics & Forensic Integrity Risk Services - Staff Consultant,"S/2,800 ",EY
Incharge Consultant | Data Analytics & Integrity Risk Services,"S/ 3,024 - S/ 4,250",EY
Assistant Consultant | Data Analytics & Integrity Risk Service,"S/ 2,800 - S/ 3,024",EY
Senior,"S/ 5,000 - S/ 6,989",EY
Talent Attraction & Acquisition Manager,"S/ 10,000 - S/ 12,103",EY
Talent Attraction & Acquisition Supervising,"S/10,000 ",EY
Talent Consultant Supervising,"S/6,750 ",EY
Talent Consultant Senior,"S/5,400 ",EY
Manager,"S/ 10,220 - S/ 10,629",EY
Senior,"S/ 6,000 - S/ 6,300",EY
Experienced Assistant,"S/3,400 ",EY
Assistant,"S/2,800 ",EY
Senior Manager - Tax Technology and Transformation,"S/14,500 ",EY
Manager - Tax Technology and Transformation,"S/10,220 ",EY
Senior - Business Tax Compliance,"S/ 5,192 - S/ 8,437",EY
Senior Manager,"S/ 15,500 - S/ 17,825",EY
Manager,"S/ 10,220 - S/ 11,446",EY
Senior Consultant (EY Peru),"S/6,300 ",EY
Forensics Technology Manager,"S/ 10,220 - S/ 10,629",EY
Full-stack Developer - Senior Consultant (Tech lead),"S/ 6,000 - S/ 6,420",EY
Full-stack Developer - Assistant Consultant (Tech lead),"S/2,240 ",EY
Software Engineer,"S/ 1,264 - S/ 2,800",EY
Software Engineer,"S/ 3,000 - S/ 3,270",EY
Integrity Risk Services Staff Consultant,"S/2,800 ",EY
Data Scientist Senior,"S/5,000 ",EY
Data Analytics & Integrity Risk Services In-Charge Consultant,"S/2,800 ",EY
Data Analytics & Integrity Risk Services Staff Consultant,"S/2,800 ",EY
In charge - Talent Attraction & Acquisition,"S/ 2,720 - S/ 3,800",EY
Transfer Pricing and Corporate Finance Analyst,"S/2,800 ",EY
Data Analytics | Staff / Assistant,"S/2,800 ",EY
Jefe de Atracción y Selección,"S/13,500 ",MINSUR
Senior de laboratorio,"S/11,000 ",MINSUR
Ingeniera de laboratorio,"S/7,710 ",MINSUR
Corporate Head of Cost Control,"S/ 14,800 - S/ 15,780",MINSUR
Corporate Head of FP&A,"S/ 12,395 - S/ 14,200",MINSUR
Senior Business Intelligence Analyst,"S/9,100 ",MINSUR
Senior FP&A Analyst,"S/8,330 ",MINSUR
Jefe de Turno Planta B2,"S/8,536 ",MINSUR
Ingeniero de Guardia Planta,"S/7,065 ",MINSUR
Consultor Sap Senior,"S/ 10,913 - S/ 14,063",MINSUR
Jefe de Relaciones Laborales,"S/ 14,500 - S/ 16,400",MINSUR
Comprador Junior,"S/6,700 ",MINSUR
Financial Supervisor,"S/13,900 ",MINSUR
Senior Financial Analyst,"S/ 9,740 - S/ 12,870",MINSUR
Financial Analyst,"S/ 6,150 - S/ 6,750",MINSUR
Financial & Cost Planning Analyst,"S/5,740 ",MINSUR
Corporate Financial Planning,"S/ 6,720 - S/ 10,000",MINSUR
Superintendente de Cumplimiento Legal,"S/19,100 ",MINSUR
Jefe de Cumplimiento Legal,"S/ 13,273 - S/ 16,380",MINSUR
Abogado Senior,"S/9,953 ",MINSUR
Chief Information Security Officer,"S/24,113 ",MINSUR
Jefe de Operaciones de Tesoreria,"S/15,000 ",MINSUR
Supervisor de tesorería,"S/11,110 ",MINSUR
Supervisor Instrumentista,"S/8,000 ",MINSUR
Coordinadora de Comunicación Externa,"S/ 10,703 - S/ 11,323",MINSUR
Superintendent of Welfare and Quality of Life,"S/ 17,800 - S/ 18,800",MINSUR
Healthy Families Project Superintendent,"S/15,750 ",MINSUR
Ingeniero de Confiabilidad,"S/9,900 ",MINSUR
Asistente Administrativo de Gestión Social,"S/5,500 ",MINSUR
Auditor Senior,"S/11,600 ",MINSUR
Data Scientist,"S/11,500 ",MINSUR
Analista Back Office,"S/ 7,880 - S/ 9,070",MINSUR
Analista Junior Back Office,"S/ 4,700 - S/ 6,000",MINSUR
Coordinadora de Sostenibilidad,"S/11,000 ",MINSUR
Head of Analytics,"S/ 11,360 - S/ 19,013",MINSUR
Administrador de contratos - Proyectos,"S/ 8,400 - S/ 8,820",MINSUR
Agente de transformación - Lean Managment,"S/10,850 ",MINSUR
Analista de proyectos y control de gestión ADP,"S/ 9,300 - S/ 9,850",MINSUR
Corporate Analyst of Workforce Planning and Success Factors,"S/ 6,500 - S/ 8,610",MINSUR
Jr. Personnel Administration Analyst,"S/5,300 ",MINSUR
Agente de transformación,"S/11,500 ",MINSUR
Ing. Junior de Planeamiento a Corto Plazo,"S/ 6,500 - S/ 6,500",MINSUR
Jefe de guardia,"S/9,400 ",MINSUR
Ingeniero de terreno,"S/ 9,100 - S/ 11,000",MINSUR
Corporate Financial Planning Senior Analyst,"S/11,200 ",MINSUR
Corporate Financial Planning Analyst,"S/ 8,500 - S/ 9,000",MINSUR
Corporate Study Manager at Minsur S.A.,"S/36,000 ",MINSUR
Analista de Gestión Comercial,"S/3,600 ",ENTEL
Data Scientist Specialist,"S/6,300 ",ENTEL
Data Scientist,"S/ 4,100 - S/ 6,000",ENTEL
Analista de Inteligencia de Negocios,"S/2,800 ",ENTEL
Analista de gestión de la información,"S/ 3,600 - S/ 3,850",ENTEL
Analista de control de gestión,"S/3,600 ",ENTEL
Key Account Manager de Inside Sales,"S/6,000 ",ENTEL
Analista de Control de Gestión Empresas,"S/3,600 ",ENTEL
Asesor principal,"S/6,500 ",ENTEL
KAM Tiendas Express,"S/7,500 ",ENTEL
Coordinador de Canales Remotos,"S/ 4,800 - S/ 5,394",ENTEL
Analista de Canales Remotos,"S/3,500 ",ENTEL
Coordinador de Gestión de SSNN,"S/4,800 ",ENTEL
Analista de Gestión de Canal,"S/3,800 ",ENTEL
Analista de RRLL y Terceros,"S/ 3,600 - S/ 4,200",ENTEL
Sr. Data Scientist Specialist,"S/9,500 ",ENTEL
Data Scientist Specialist,"S/8,500 ",ENTEL
Data Scientist,"S/ 4,500 - S/ 6,850",ENTEL
Coordinadora de Planeamiento,"S/4,800 ",ENTEL
Subgerente de Experiencia y Cultura Corporativa (Chile - Perú),"S/ 20,903 - S/ 22,603",ENTEL
Subgerente de Experiencia del Colaborador,"S/19,603 ",ENTEL
Jefe de comunicación interna y gestión del cambio,"S/17,993 ",ENTEL
Corporate HR Agile Team Member,"S/7,710 ",ENTEL
HR Controller,"S/ 7,000 - S/ 7,710",ENTEL
Scrum Master,"S/6,500 ",ENTEL
HR Project Coordinator,"S/ 5,253 - S/ 6,500",ENTEL
Coordinador de Comunicación Interna y Eventos,"S/ 5,200 - S/ 6,500",ENTEL
Analista de Administración de Personas,"S/ 3,700 - S/ 3,950",ENTEL
Asistente de Relaciones Laborales y Terceros,"S/2,800 ",ENTEL
Analista de Gestión Comercial,"S/3,600 ",ENTEL
Agile Data Analyst Senior,"S/4,900 ",ENTEL
Analista de Gestión en Compras Corporativas,"S/3,850 ",ENTEL
Analista de Operaciones y Desarrollo en Compras,"S/3,600 ",ENTEL
Analista de Experiencia y Cultura Corporativa [Perú-Chile],"S/ 4,095 - S/ 4,900",ENTEL
Analista de Comunicación Interna,"S/ 3,800 - S/ 4,095",ENTEL
Asistente de Comunicación Interna,"S/ 2,700 - S/ 3,100",ENTEL
Coordinadora de Gestion de Personal,"S/ 6,103 - S/ 6,703",ENTEL
Consultor Senior de Compensaciones y Estructura,"S/13,650 ",ENTEL
Especialista de Compensaciones y Estructura,"S/ 8,000 - S/ 11,000",ENTEL
Analista de Outsourcing,"S/4,500 ",ENTEL
Coordinadora de Gestión - Lima y Regiones,"S/7,628 ",ENTEL
Coordinadora de Gestión - Lima,"S/7,182 ",ENTEL
Coordinador de Compensaciones y Estructura,"S/7,250 ",ENTEL
Customer Value Management Analyst,"S/3,600 ",ENTEL
Coordinador de gestión de información,"S/4,800 ",ENTEL
Analista de gestión de la información,"S/3,600 ",ENTEL
Coordinador de Diseño de Red de Acceso,"S/6,000 ",ENTEL
On Premise HE Coordinator,"S/ 6,312 - S/ 7,126",AB-INBEV
Trade Marketing Execution Coordinator - Traditional Channel,"S/ 5,430 - S/ 6,230",AB-INBEV
Marketplace Buyer,"S/ 4,671 - S/ 4,930",AB-INBEV
Engineering senior Manager,"S/15,959 ",AB-INBEV
Mainteneance & Utilities Lead,"S/ 11,949 - S/ 12,794",AB-INBEV
Ingeniero de mantenimiento mecánico,"S/ 10,514 - S/ 12,036",AB-INBEV
Supply Trainee,"S/4,738 ",AB-INBEV
Innovation & Transformation Growth Manager,"S/ 11,707 - S/ 12,175",AB-INBEV
Trade Marketplace Project Lead,"S/ 9,889 - S/ 11,707",AB-INBEV
Marketing Innovation Lead,"S/ 7,336 - S/ 9,050",AB-INBEV
Trade Marketing Execution Specialist,"S/4,645 ",AB-INBEV
Sales Sr Manager,"S/28,375 ",AB-INBEV
Analytics Manager MAZ,"S/ 20,113 - S/ 21,514",AB-INBEV
Sales & Marketing PPM Revenue Analyst,"S/5,000 ",AB-INBEV
Data Science Product Manager,"S/ 13,200 - S/ 14,124",AB-INBEV
Energy & Fluids Maintenance Supervisor,"S/11,897 ",AB-INBEV
Coordinador de Trade Marketing Execution,"S/5,430 ",AB-INBEV
Commercial Integration and Transformation Analyst,"S/3,950 ",AB-INBEV
Channel Development Off Premise Intern,"S/1,800 ",AB-INBEV
Beyond Beer Manager,"S/16,540 ",AB-INBEV
Premium & Craft Manager,"S/13,780 ",AB-INBEV
Key Account Logistics Manager,"S/ 11,793 - S/ 12,526",AB-INBEV
Revenue & Pricing Analyst,"S/5,678 ",AB-INBEV
Planning & Performance Analyst,"S/4,963 ",AB-INBEV
Commercial Data Analyst,"S/3,576 ",AB-INBEV
Regional Tech Sales Coordinator,"S/5,430 ",AB-INBEV
Trade Marketing Execution Analyst,"S/4,615 ",AB-INBEV
Trade Marketing Execution Assistant,"S/3,692 ",AB-INBEV
Ingeniero de producción,"S/9,965 ",AB-INBEV
Supply Trainee,"S/6,310 ",AB-INBEV
Commercial DAS Coordinator,"S/5,779 ",AB-INBEV
Trade Marketing Execution SR,"S/ 4,671 - S/ 4,858",AB-INBEV
Brand Development Representative,"S/3,450 ",AB-INBEV
Data Scientist,"S/8,600 ",AB-INBEV
PO Digital Manager,"S/13,800 ",AB-INBEV
Digital Comms Manager,"S/12,175 ",AB-INBEV
Digital Comms Lead,"S/11,700 ",AB-INBEV
Digital Projects Lead,"S/9,000 ",AB-INBEV
Traditional High End Trade Professional,"S/ 7,178 - S/ 7,336",AB-INBEV
Events Professional,"S/5,750 ",AB-INBEV
